timestamps,open,high,low,close,volume,amount
2025-03-11,950.3241301830225,960.1313967483788,944.4397702438088,952.2855834960938,50204233,47808767316.378845
2025-03-12,961.1121334431143,975.8230334447945,957.1892267759995,968.9579467773438,34184887,33123717918.33551
2025-03-13,980.726615629048,985.6302487071932,946.4011840820312,946.4011840820312,37035693,35050623708.4986
2025-03-14,946.4012669472799,950.324173753279,936.5939999322821,940.5169067382812,34333748,32291470465.69165
2025-03-17,958.1698958249436,966.0157086873792,949.3433563547036,951.3048095703125,31491061,29957597787.772095
2025-03-18,961.6504871749485,963.6210824355529,953.7681061325309,956.7239990234375,21575327,20641633127.678345
2025-03-19,950.8122263034853,952.7828215911609,936.0327616459182,938.0033569335938,35245036,33059962083.24536
2025-03-20,963.6211049036326,970.5181884765625,956.7240213307027,970.5181884765625,28715956,27869357597.492676
2025-03-21,970.5182205011815,972.4888158727575,955.7387552143615,957.7093505859375,39214916,37556491735.64209
2025-03-24,971.5035181869696,972.4888158727575,957.7093505859375,957.7093505859375,16121506,15439717041.727295
2025-03-25,974.4594044694996,980.3711905431265,970.5182137537483,975.4447021484375,26167428,25524879011.450684
2025-03-26,980.3711392149634,980.3711392149634,965.5916748046875,965.5916748046875,21735917,20988020499.44568
2025-03-27,946.871054121746,949.8269471106797,943.9151611328125,943.9151611328125,34563256,32624781356.51465
2025-03-28,932.0915710705669,940.9592498651073,932.0915710705669,938.0033569335938,33101234,31049068610.64441
2025-03-31,906.4738259787088,910.4150165264423,896.620849609375,896.620849609375,51064611,45785594899.79224
2025-04-01,915.3415070873197,932.0915669586699,911.4003165293549,930.1209716796875,32197752,29947804376.1416
2025-04-02,935.0474742071391,938.003367170913,924.2092000066349,928.150390625,24849656,23064217923.296875
2025-04-07,835.5324096679688,835.5324096679688,835.5324096679688,835.5324096679688,23820773,19903027864.84369
2025-04-08,785.282273236443,830.60596780216,785.282273236443,804.0029296875,116648736,93785925488.34375
2025-04-09,797.1058235314242,813.8558841000697,768.532190796676,773.4586791992188,107582838,83210879783.98352
2025-04-10,850.3118896484375,850.3118896484375,850.3118896484375,850.3118896484375,19416428,16510019582.902832
2025-04-11,835.5324220946991,875.9296264648438,823.7088500839251,875.9296264648438,76103586,66661385657.61511
2025-04-14,881.8413371709041,889.7237178383535,852.2824096679688,852.2824096679688,66326054,56528529126.88782
2025-04-15,861.1501860145561,866.0766744929002,852.2825067535366,864.1060791015625,30562095,26408892079.579468
2025-04-16,854.2530763860334,856.2236717179505,839.4736113966557,842.4295043945312,42128082,35489939240.35217
2025-04-17,836.5177144632711,843.4147980925325,829.6206308340097,834.547119140625,33684502,28111304103.78662
2025-04-18,840.4588836310892,845.3853718118106,837.5029907226562,837.5029907226562,20101219,16834831029.671082
